Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2013 01 28;26.9;40.8;12.4;28.4
2013 01 29;20.7;29.8;8.1;21.7
2013 01 30;20.7;33.3;13.2;20.1
2013 01 31;16.1;24.3;7.1;17.2
2013 02 01;23.9;34.1;15;19.1
2013 02 02;25.7;38.6;14.2;24.4
2013 02 03;17.4;25.8;9.9;15.9
2013 02 04;18.8;24.1;11.4;12.7
2013 02 05;21.1;26.9;12.5;14.4
2013 02 06;20.7;27.7;11;16.7
2013 02 07;17.2;29.5;1.7;27.8
2013 02 08;18.7;26.4;5;21.4
2013 02 09;22.9;34.8;11.5;23.3
2013 02 10;-9999.9;35.1;11.4;23.7
2013 02 11;-9999.9;-9999.9;-9999.9;-9999.9
2013 02 12;-9999.9;37.2;12.6;24.6
2013 02 13;19.3;29.6;7.6;22
2013 02 14;18.2;28.9;10.3;18.6
2013 02 15;19.1;25.8;11.1;14.7
2013 02 16;21.8;26.9;16.3;10.6
2013 02 17;24.3;28.9;19.9;9
2013 02 18;25.2;30.6;18.9;11.7
2013 02 19;23.3;27.4;16.7;10.7
2013 02 20;26.1;30;22.3;7.7
2013 02 21;26.2;33.3;17.1;16.2
2013 02 22;31;36.2;19.1;17.1
2013 02 23;34.1;47.6;21.2;26.4
2013 02 24;28;35.3;18.6;16.7
2013 02 25;25.1;34.6;15.4;19.2
2013 02 26;18;28.9;8.5;20.4
2013 02 27;13.9;20.9;5.7;15.2
2013 02 28;24.7;31;10.2;20.8
2013 03 01;30.7;43.7;24;19.7
2013 03 02;17.6;26.4;6.9;19.5
2013 03 03;15.2;24.4;9.5;14.9
2013 03 04;26.6;46.4;16.6;29.8
2013 03 05;46.9;62;37.9;24.1
2013 03 06;51.4;68.1;35;33.1
2013 03 07;40.7;45.8;32;13.8
2013 03 08;39.6;50.2;29.7;20.5
2013 03 09;38.8;49;29.1;19.9
2013 03 10;38.9;50;28.7;21.3
2013 03 11;37.2;47.3;28.9;18.4
2013 03 12;40.1;49.3;27.7;21.6
2013 03 13;43.1;55;34.4;20.6
2013 03 14;27.6;38.4;16;22.4
2013 03 15;23.8;35.1;12.8;22.3
2013 03 16;37.4;50.1;22.7;27.4
2013 03 17;47.2;60.2;37.3;22.9
2013 03 18;42;54.4;31.4;23
2013 03 19;40;51.9;32.5;19.4
2013 03 20;39.6;53.3;29.1;24.2
2013 03 21;29.3;36;21.2;14.8
2013 03 22;37.1;43.6;33.5;10.1
2013 03 23;45.1;53.2;38.7;14.5
2013 03 24;45.7;56.9;35.3;21.6
2013 03 25;38.3;44.5;31.1;13.4
2013 03 26;41.6;51;37.6;13.4
2013 03 27;47.2;56.1;36.9;19.2
2013 03 28;46.6;54.9;40;14.9
2013 03 29;-9999.9;54.8;32.7;22.1
2013 03 30;-9999.9;-9999.9;-9999.9;-9999.9
2013 03 31;41.2;56.4;27.7;28.7
2013 04 01;47.2;55.7;38.9;16.8
2013 04 02;39.8;55;30.6;24.4
2013 04 03;40.6;55.3;31;24.3
2013 04 04;50.4;62;46.1;15.9
2013 04 05;45.5;57;34.4;22.6
2013 04 06;39.6;52.9;30.1;22.8
2013 04 07;32;37.8;21.7;16.1
2013 04 08;38.6;46.3;30.9;15.4
2013 04 09;40.6;51;33.2;17.8
2013 04 10;35.4;42.1;27.1;15
2013 04 11;35.8;45.3;29.2;16.1
2013 04 12;32.3;39.9;24.7;15.2
2013 04 13;26.3;35;18.1;16.9
2013 04 14;22;29.2;13.3;15.9
2013 04 15;19.6;31.1;11;20.1
2013 04 16;19.5;29;11.1;17.9
2013 04 17;18.9;27.9;11.3;16.6
2013 04 18;18.2;25.7;12.4;13.3
2013 04 19;15.8;24.7;10.3;14.4
2013 04 20;15.3;19.9;9.1;10.8
2013 04 21;18.8;24.1;15.1;9
2013 04 22;19.8;25.9;13.7;12.2
2013 04 23;20;25.6;13.4;12.2
2013 04 24;23.8;34.1;17.2;16.9
2013 04 25;29.2;45;20.9;24.1
2013 04 26;31;44.3;18.6;25.7
2013 04 27;31.6;47.3;21.7;25.6
2013 04 28;35.2;51.6;25.4;26.2
2013 04 29;42.6;59.5;31.1;28.4
2013 04 30;38;54.6;23.1;31.5
2013 05 01;29.6;46.5;19.2;27.3
2013 05 02;25.3;39.4;17.5;21.9
2013 05 03;22.4;34.2;15.8;18.4
2013 05 04;22.5;31.7;16.2;15.5
2013 05 05;22.4;32.4;16.8;15.6
2013 05 06;23.5;28.9;16.1;12.8
2013 05 07;26.8;35.4;19.6;15.8
2013 05 08;27.1;34.9;20.3;14.6
2013 05 09;28.5;40.6;19.4;21.2
2013 05 10;29.4;39.4;20.5;18.9
2013 05 11;26.6;37.6;18.4;19.2
2013 05 12;21.6;30.4;14.9;15.5
2013 05 13;21.6;35.4;12.5;22.9
2013 05 14;30.6;46.7;21.3;25.4
2013 05 15;39.9;50.8;32.6;18.2
2013 05 16;41.3;51;33.2;17.8
2013 05 17;-9999.9;48.8;38.4;10.4
2013 05 18;-9999.9;-9999.9;-9999.9;-9999.9
2013 05 19;-9999.9;44;24.2;19.8
2013 05 20;30.8;38.4;24.1;14.3
2013 05 21;30.8;38.1;22.5;15.6
2013 05 22;25.5;35.1;14.7;20.4
2013 05 23;23.4;39.1;13.5;25.6
2013 05 24;30.2;46.3;21.1;25.2
2013 05 25;29.2;40.4;19.4;21
2013 05 26;28.3;43.2;17.2;26
2013 05 27;33.2;50.6;21.8;28.8
2013 05 28;31.3;43.8;20.7;23.1
2013 05 29;26.9;40.8;18.3;22.5
2013 05 30;28.1;38.9;20.3;18.6
2013 05 31;27.5;38.1;21.7;16.4
2013 06 01;23.1;35.4;16.3;19.1
2013 06 02;21.6;26.5;13.3;13.2
2013 06 03;26.6;31.3;19.3;12
2013 06 04;29.3;33.2;22.3;10.9
2013 06 05;31.7;39.2;24.7;14.5
2013 06 06;32.4;42.1;24.9;17.2
2013 06 07;30.4;39.2;19.1;20.1
2013 06 08;31.2;40.7;21.6;19.1
2013 06 09;31.4;43.2;22.6;20.6
2013 06 10;26.4;35.7;16.1;19.6
2013 06 11;24.6;36.6;16.7;19.9
2013 06 12;25.4;36.5;16.8;19.7
2013 06 13;26.2;36.3;19;17.3
2013 06 14;28.2;38.4;22;16.4
2013 06 15;30.3;38.4;25;13.4
2013 06 16;32.7;42.3;26;16.3
2013 06 17;39.8;57.2;30.8;26.4
2013 06 18;42.4;53.9;30.5;23.4
2013 06 19;36.7;47.3;26.7;20.6
2013 06 20;30.9;38.9;21.8;17.1
2013 06 21;27.6;37.4;18.1;19.3
2013 06 22;24.6;36.4;13.9;22.5
2013 06 23;21.3;34.6;12.1;22.5
2013 06 24;15.6;29.1;5.1;24
2013 06 25;16.3;32.8;8.7;24.1
2013 06 26;18.4;30.6;8.6;22
2013 06 27;19.5;32.9;12.1;20.8
2013 06 28;20;30;14.2;15.8
2013 06 29;17.8;26.6;11.6;15
2013 06 30;21.1;28.4;14.9;13.5
2013 07 01;26.5;31.6;20.6;11
2013 07 02;29.2;34.3;22.9;11.4
2013 07 03;28.1;33.8;22.1;11.7
2013 07 04;25.3;31.4;18.9;12.5
2013 07 05;24;31.8;16.6;15.2
2013 07 06;24.3;33.7;17.2;16.5
2013 07 07;25.6;38.2;17.5;20.7
2013 07 08;27.9;39.6;19.1;20.5
2013 07 09;30.3;42.1;22;20.1
2013 07 10;32;43.1;23.9;19.2
2013 07 11;33.5;45.9;24.8;21.1
2013 07 12;34.2;43.8;27.9;15.9
2013 07 13;33.2;39.9;27.4;12.5
2013 07 14;31;38.3;25.2;13.1
2013 07 15;29.1;36.2;23.6;12.6
2013 07 16;29;35.6;23.2;12.4
2013 07 17;29.8;36.1;23.2;12.9
2013 07 18;30.7;39.1;21.7;17.4
2013 07 19;32;41.7;22.7;19
2013 07 20;33.6;44.8;24.9;19.9
2013 07 21;33.9;47.1;24.2;22.9
2013 07 22;32.2;44.8;22.2;22.6
2013 07 23;30.9;44.9;22;22.9
2013 07 24;28.9;40.3;19.6;20.7
2013 07 25;27.4;40.7;17.8;22.9
2013 07 26;30;50.6;21.8;28.8
2013 07 27;36.4;48.9;25.1;23.8
2013 07 28;36.7;46.6;31.8;14.8
2013 07 29;27.7;38.7;19.6;19.1
2013 07 30;21.4;26.2;14.6;11.6
2013 07 31;23.6;29.4;17.3;12.1
2013 08 01;26.9;33.7;20.5;13.2
2013 08 02;29.6;38.5;21.6;16.9
2013 08 03;30.5;47.5;8.9;38.6
2013 08 04;30.7;42;21.9;20.1
2013 08 05;32.1;44.4;23.9;20.5
2013 08 06;34.6;46.5;25;21.5
2013 08 07;36.2;47.6;28.4;19.2
2013 08 08;31.9;41.1;23.8;17.3
2013 08 09;26.8;35.9;20;15.9
2013 08 10;26.1;35.6;18.3;17.3
2013 08 11;30.8;41;21.6;19.4
2013 08 12;36.1;43.5;29;14.5
2013 08 13;37;41.3;32.6;8.7
2013 08 14;35.8;40.8;28.9;11.9
2013 08 15;35.7;40.7;28.8;11.9
2013 08 16;35.9;43.8;29.1;14.7
2013 08 17;35.5;44.6;26.6;18
2013 08 18;35.9;46.1;28.1;18
2013 08 19;31.8;42.4;24.3;18.1
2013 08 20;27.6;40.6;18.1;22.5
2013 08 21;31.2;46.4;22.8;23.6
2013 08 22;33.3;46.1;23.9;22.2
2013 08 23;33.9;44.9;25.8;19.1
2013 08 24;35.1;44.4;28.9;15.5
2013 08 25;37.1;45.8;27.9;17.9
2013 08 26;41.6;49.2;33.7;15.5
2013 08 27;38.9;44.9;33.2;11.7
2013 08 28;35;41.6;25;16.6
2013 08 29;35;42;28.5;13.5
2013 08 30;34.4;43.2;26.2;17
2013 08 31;33.4;42;24.1;17.9
2013 09 01;33.4;42.5;26.1;16.4
2013 09 02;32.2;42;25;17
2013 09 03;30.6;39.6;24.1;15.5
2013 09 04;31.2;42.1;22.9;19.2
2013 09 05;33.5;43.6;24.8;18.8
2013 09 06;33.5;42.3;26.1;16.2
2013 09 07;32.8;43.4;22.4;21
2013 09 08;30.2;41.1;20.6;20.5
2013 09 09;27.6;34.9;18.2;16.7
2013 09 10;29.1;38.2;19.7;18.5
2013 09 11;26.9;34.8;20.2;14.6
2013 09 12;23.6;32;15.9;16.1
2013 09 13;23.8;32.3;16.2;16.1
2013 09 14;27.5;38.3;19.8;18.5
2013 09 15;28.3;38.8;21.5;17.3
2013 09 16;29.5;43.6;21.9;21.7
2013 09 17;30.3;41.8;21.4;20.4
2013 09 18;31.3;43.9;23;20.9
2013 09 19;33.9;46;26;20
2013 09 20;32.4;40.8;24.6;16.2
2013 09 21;30.8;37.9;25.1;12.8
2013 09 22;28.5;35.4;21.9;13.5
2013 09 23;31.1;37.4;22.5;14.9
2013 09 24;35.3;42.5;28.4;14.1
2013 09 25;36.4;42.5;30.8;11.7
2013 09 26;34.7;40.9;30.2;10.7
2013 09 27;35;41.8;27.3;14.5
2013 09 28;40.6;50;32;18
2013 09 29;40.4;50;32.1;17.9
2013 09 30;37.2;46.2;29.9;16.3
2013 10 01;39.2;49.3;32.1;17.2
2013 10 02;41.3;49.7;35.6;14.1
2013 10 03;46.6;57.3;36.5;20.8
2013 10 04;50.9;61.8;42.6;19.2
2013 10 05;45;54.7;35.1;19.6
2013 10 06;40.1;48.4;30.1;18.3
2013 10 07;40.3;48.7;31.3;17.4
2013 10 08;37.9;49.7;31.4;18.3
2013 10 09;35.5;44.3;27.6;16.7
2013 10 10;37.1;46.2;27.9;18.3
2013 10 11;41.6;51.6;31.4;20.2
2013 10 12;42.5;52.5;36.2;16.3
2013 10 13;36.4;44.5;29.1;15.4
2013 10 14;33.6;42.9;28.1;14.8
2013 10 15;33.4;43.8;25.7;18.1
2013 10 16;28;35.3;19.6;15.7
2013 10 17;28.8;39.8;19.7;20.1
2013 10 18;35.2;44.9;25.2;19.7
2013 10 19;39;46.8;31.1;15.7
2013 10 20;39.3;48.8;32;16.8
2013 10 21;40.3;47.8;30.8;17
2013 10 22;44.2;53.9;34.9;19
2013 10 23;41.9;54.9;33.2;21.7
2013 10 24;39.5;47.5;29.5;18
2013 10 25;42;50.2;33.6;16.6
2013 10 26;44.6;53.2;35.6;17.6
2013 10 27;42;47.3;35;12.3
2013 10 28;41.5;49.6;34.9;14.7
2013 10 29;40.5;47.8;30.7;17.1
2013 10 30;38.5;46.7;31.6;15.1
2013 10 31;38.4;46.3;30.4;15.9
2013 11 01;37;44;29.3;14.7
2013 11 02;34.9;43.3;26;17.3
2013 11 03;34.1;41.4;24.3;17.1
2013 11 04;38.6;51.5;27.4;24.1
2013 11 05;32.1;48.1;17.3;30.8
2013 11 06;26.4;37.9;13.5;24.4
2013 11 07;32.9;41.8;21.1;20.7
2013 11 08;35.9;48.9;30;18.9
2013 11 09;29.4;37.3;22;15.3
2013 11 10;24.5;35.2;17.6;17.6
2013 11 11;22.2;29.9;15.4;14.5
2013 11 12;30.7;42.9;20;22.9
2013 11 13;34.7;42.2;24.4;17.8
2013 11 14;28.8;34.9;20.1;14.8
2013 11 15;33.9;44;18.3;25.7
2013 11 16;47.5;56.8;29.7;27.1
2013 11 17;53.5;63.1;44.6;18.5
2013 11 18;58;69.4;45.6;23.8
2013 11 19;53.3;61.6;44.6;17
2013 11 20;48.1;57.7;41;16.7
2013 11 21;45.8;58.1;38.1;20
2013 11 22;38.6;49.9;30.2;19.7
2013 11 23;35.6;43;25;18
2013 11 24;37.8;47;31.3;15.7
2013 11 25;36.2;46.6;29.8;16.8
2013 11 26;34.3;41.4;29.3;12.1
2013 11 27;37;45.7;31.8;13.9
2013 11 28;35;42.2;24.2;18
2013 11 29;26.1;32.6;13;19.6
2013 11 30;24.9;35.5;14.5;21
2013 12 01;23.2;31;12.3;18.7
2013 12 02;25.3;36.9;12.9;24
2013 12 03;22.4;32.3;12.2;20.1
2013 12 04;19.7;32.5;9.6;22.9
2013 12 05;16.9;30.3;6.7;23.6
2013 12 06;14.1;27.5;4.7;22.8
2013 12 07;17.5;30.5;4.6;25.9
2013 12 08;22.2;34.2;14.5;19.7
2013 12 09;20;29.9;13;16.9
2013 12 10;16.2;25.2;8;17.2
2013 12 11;15;22.3;9.3;13
2013 12 12;15.3;20.6;6.3;14.3
2013 12 13;15.2;22.1;8.1;14
2013 12 14;15.7;22;6.8;15.2
2013 12 15;15.1;23.4;5;18.4
2013 12 16;14.7;23;5.4;17.6
2013 12 17;16.9;27;6.2;20.8
2013 12 18;20.1;29.9;9.3;20.6
2013 12 19;27.7;37.2;13.7;23.5
2013 12 20;26.4;41.9;11.7;30.2
2013 12 21;18.9;27.2;8.5;18.7
2013 12 22;17.5;30.2;9;21.2
2013 12 23;13.9;22.2;6.7;15.5
2013 12 24;-9999.9;28;10.2;17.8
2013 12 25;-9999.9;-9999.9;-9999.9;-9999.9
2013 12 26;-9999.9;-9999.9;-9999.9;-9999.9
2013 12 27;21.4;25.9;10.3;15.6
2013 12 28;27.5;40.2;15.6;24.6
2013 12 29;18.9;31;4.7;26.3
2013 12 30;17.7;24.5;7.4;17.1
2013 12 31;-9999.9;33.6;10.3;23.3
2014 01 01;28;37.1;11.4;25.7
2014 01 02;30.6;45.4;18.2;27.2
2014 01 03;30.4;46.7;18.3;28.4
2014 01 04;32.2;54.9;18.6;36.3
2014 01 05;24.4;37.8;10.6;27.2
2014 01 06;24.4;38.3;11.8;26.5
2014 01 07;26.9;39.3;18.9;20.4
2014 01 08;24.4;31.9;18;13.9
2014 01 09;25.4;32;19.8;12.2
2014 01 10;27.1;31;20.4;10.6
2014 01 11;29.2;35.7;20.8;14.9
2014 01 12;27.1;34.8;15.9;18.9
2014 01 13;26.8;34.9;17.7;17.2
2014 01 14;28.1;39;16.3;22.7
2014 01 15;29.3;38.3;15.4;22.9
2014 01 16;35.9;48.7;21.3;27.4
2014 01 17;40.2;51.3;28.2;23.1
2014 01 18;47.3;58.8;31.3;27.5
2014 01 19;47.3;60.4;35.8;24.6
2014 01 20;33.1;45.4;19.8;25.6
2014 01 21;28.8;39.2;16.3;22.9
2014 01 22;35;47.1;27.2;19.9
2014 01 23;29.4;37.3;19.6;17.7
2014 01 24;22.1;28.5;12.7;15.8
2014 01 25;19.8;29;9;20
2014 01 26;19.5;25.7;10.7;15
2014 01 27;27.1;38.4;15.3;23.1
2014 01 28;33.6;39;18.2;20.8
2014 01 29;44.2;54.1;27.8;26.3
2014 01 30;43.7;55.7;31.5;24.2
2014 01 31;37.2;48.5;27.1;21.4
2014 02 01;33.5;52.2;17.2;35
2014 02 02;23.7;34.5;13;21.5
2014 02 03;28.2;39.4;13.6;25.8
2014 02 04;33.8;41.7;24.8;16.9
2014 02 05;32.9;44.9;26.9;18
2014 02 06;31.5;40.1;23;17.1
2014 02 07;33.3;42.7;24.5;18.2
2014 02 08;32.1;39.3;27.4;11.9
2014 02 09;36.4;41.3;24.2;17.1
2014 02 10;40.8;61.6;20.1;41.5
2014 02 11;27.8;34;13;21
2014 02 12;26.5;35.3;13.1;22.2
2014 02 13;29.5;39.9;18.3;21.6
2014 02 14;33.5;41.6;17.6;24
2014 02 15;38.2;50.2;24.6;25.6
2014 02 16;34.4;45.5;23.9;21.6
2014 02 17;34.4;43.6;23.6;20
2014 02 18;37;46.4;26.3;20.1
2014 02 19;30.2;38.8;21.1;17.7
2014 02 20;24.6;30.8;18.7;12.1
2014 02 21;22.8;29.6;14.3;15.3
2014 02 22;19.3;24.7;12.2;12.5
2014 02 23;20.9;26;16.4;9.6
2014 02 24;24.8;30.7;16.5;14.2
2014 02 25;26.1;33.9;16.6;17.3
2014 02 26;21.7;34.7;7.4;27.3
2014 02 27;17.3;27.7;7.2;20.5
2014 02 28;18.6;32.7;6.9;25.8
2014 03 01;20.5;35.3;6.9;28.4
2014 03 02;24.7;38;12.9;25.1
2014 03 03;23.3;36.9;16.4;20.5
2014 03 04;20.7;29.3;8.9;20.4
2014 03 05;22.6;30.8;15.3;15.5
2014 03 06;22.3;28.5;15.8;12.7
2014 03 07;19.8;26.1;13.9;12.2
2014 03 08;17.5;24.5;12.2;12.3
2014 03 09;16.2;21.9;11;10.9
2014 03 10;17.2;22.4;12.6;9.8
2014 03 11;18.9;26.3;12.8;13.5
2014 03 12;18.5;26.1;11.9;14.2
2014 03 13;20.2;27;14.1;12.9
2014 03 14;21;29.7;13.5;16.2
2014 03 15;16.9;24.4;7.8;16.6
2014 03 16;15.1;23;7;16
2014 03 17;19.3;27.1;10;17.1
2014 03 18;21.5;30.5;15.9;14.6
2014 03 19;20.2;27.9;13.5;14.4
2014 03 20;21.8;29.7;15.4;14.3
2014 03 21;23.7;31.6;16.6;15
2014 03 22;26.2;32.7;21;11.7
2014 03 23;20.6;31.2;10.2;21
2014 03 24;16.4;23.6;11.1;12.5
2014 03 25;19.5;26.8;11.1;15.7
2014 03 26;24.4;31.8;18.6;13.2
2014 03 27;22;29.4;12;17.4
2014 03 28;24.3;31.4;13.7;17.7
2014 03 29;34;42.7;21.2;21.5
2014 03 30;35.2;46.3;27.2;19.1
2014 03 31;30;38.3;22;16.3
2014 04 01;31.1;41.6;22.7;18.9
2014 04 02;41.1;59.7;28;31.7
2014 04 03;49.1;58.8;39.3;19.5
2014 04 04;40.7;51.9;29.8;22.1
2014 04 05;33.9;44.3;26.9;17.4
2014 04 06;30.6;40.2;22.5;17.7
2014 04 07;29.2;36.9;22.8;14.1
2014 04 08;27.6;37.9;20.5;17.4
2014 04 09;25.1;32.2;20.3;11.9
2014 04 10;26.7;33.4;21.2;12.2
2014 04 11;30.4;40.4;20.7;19.7
2014 04 12;31.7;41.2;22.4;18.8
2014 04 13;29.1;38.1;21.1;17
2014 04 14;26;33.2;17.4;15.8
2014 04 15;26.4;36.3;20.5;15.8
2014 04 16;24.7;32.6;17.4;15.2
2014 04 17;24.9;35.8;16.5;19.3
2014 04 18;31.6;45.6;23.4;22.2
2014 04 19;40.5;57.1;31.8;25.3
2014 04 20;44.8;54.4;34.8;19.6
2014 04 21;44.7;56.9;36.8;20.1
2014 04 22;42;55.5;33.9;21.6
2014 04 23;34.1;48.9;25.6;23.3
2014 04 24;35.1;41.4;29.2;12.2
2014 04 25;34.8;49.3;25.5;23.8
2014 04 26;31.4;38;23.3;14.7
2014 04 27;30.4;37.9;22;15.9
2014 04 28;29;39.2;20.9;18.3
2014 04 29;30.5;39.3;23.9;15.4
2014 04 30;28.9;38;21.5;16.5
2014 05 01;26.4;35.5;18.3;17.2
2014 05 02;24.6;34.9;18.8;16.1
2014 05 03;22.9;32.1;15.9;16.2
2014 05 04;25.1;38.1;18.7;19.4
2014 05 05;30.8;41.1;24.7;16.4
2014 05 06;32.7;40.4;26;14.4
2014 05 07;31.3;40.6;24.6;16
2014 05 08;28.1;36.2;22.7;13.5
2014 05 09;27.8;34;23.1;10.9
2014 05 10;28.9;34;22.8;11.2
2014 05 11;28.5;35.5;23.1;12.4
2014 05 12;27.9;34.8;18.1;16.7
2014 05 13;24.9;35.2;17.5;17.7
2014 05 14;14.8;24.5;2.2;22.3
2014 05 15;16.5;30.4;9.1;21.3
2014 05 16;20.5;33.9;10.6;23.3
2014 05 17;26.4;41.5;19.3;22.2
2014 05 18;32.3;45.9;24.3;21.6
2014 05 19;34.7;47.8;27.8;20
2014 05 20;36;49.7;26.7;23
2014 05 21;41.6;51.4;35.3;16.1
2014 05 22;38.8;51.6;29.7;21.9
2014 05 23;35.4;43.7;29.9;13.8
2014 05 24;34.8;43.1;26.3;16.8
2014 05 25;34.1;42.5;27;15.5
2014 05 26;30;37.9;20.6;17.3
2014 05 27;27.6;36.6;18.3;18.3
2014 05 28;28.1;39.8;20.7;19.1
2014 05 29;25;34.7;15.4;19.3
2014 05 30;22.5;31;13.5;17.5
2014 05 31;21.7;33.2;15.6;17.6
2014 06 01;21.1;31.7;13.8;17.9
2014 06 02;22.2;33.6;16.3;17.3
2014 06 03;23.4;32.6;16.3;16.3
2014 06 04;25.1;34.4;20.7;13.7
2014 06 05;28.3;36.9;23.1;13.8
2014 06 06;29.6;36.8;23.6;13.2
2014 06 07;30;37.7;22.9;14.8
2014 06 08;29.8;36.4;22.5;13.9
2014 06 09;29.6;35.1;21.7;13.4
2014 06 10;30.5;37.5;21.3;16.2
2014 06 11;28.6;37.1;18.7;18.4
2014 06 12;26.1;36.1;16.2;19.9
2014 06 13;25.2;37;15.5;21.5
2014 06 14;26.8;41.5;17;24.5
2014 06 15;30.9;48.2;23.1;25.1
2014 06 16;32.9;46.6;24.5;22.1
2014 06 17;34.6;47.5;26.6;20.9
2014 06 18;35;45.8;28.1;17.7
2014 06 19;34.4;45;27.7;17.3
2014 06 20;36.7;44.4;30.2;14.2
2014 06 21;39.9;45.7;34.3;11.4
2014 06 22;40;47.2;32.4;14.8
2014 06 23;39.7;47.4;27.3;20.1
2014 06 24;41.3;51.2;30.5;20.7
2014 06 25;39.5;47.7;29.5;18.2
2014 06 26;35.8;47.2;26.4;20.8
2014 06 27;33.8;44.6;23.7;20.9
2014 06 28;36.5;49.4;28.6;20.8
2014 06 29;32.4;41.3;24.8;16.5
2014 06 30;29;44.3;20.3;24
2014 07 01;37;48.9;31.9;17
2014 07 02;38.4;47.8;30.8;17
2014 07 03;40.2;54.3;30.4;23.9
2014 07 04;41.4;53.5;35.3;18.2
2014 07 05;37;44.4;28.9;15.5
2014 07 06;41.2;47.3;35.1;12.2
2014 07 07;40;48.6;32.6;16
2014 07 08;33.2;40.4;24.8;15.6
2014 07 09;30.9;40.9;21.7;19.2
2014 07 10;28.6;39.9;20.1;19.8
2014 07 11;27.9;43.8;18.4;25.4
2014 07 12;31.6;44.8;23.2;21.6
2014 07 13;34.8;49.4;25.3;24.1
2014 07 14;34.5;45.9;24.1;21.8
2014 07 15;31.4;43.2;22.1;21.1
2014 07 16;29.4;40.2;21.5;18.7
2014 07 17;29.5;40;23;17
2014 07 18;32.6;47.6;24.4;23.2
2014 07 19;38.4;48.1;28.9;19.2
2014 07 20;37.3;47.2;29.8;17.4
2014 07 21;31.7;40.6;21.8;18.8
2014 07 22;32.7;41.3;25.9;15.4
2014 07 23;34.1;42.1;27.2;14.9
2014 07 24;34.2;44.6;26.8;17.8
2014 07 25;36.5;49.7;26.1;23.6
2014 07 26;37.7;48.1;28.9;19.2
2014 07 27;37;47.4;27.8;19.6
2014 07 28;39.4;50.9;31.5;19.4
2014 07 29;38.7;48.4;32.5;15.9
2014 07 30;35.1;44.4;27.1;17.3
2014 07 31;36.2;45.4;30.4;15
2014 08 01;38.9;48.4;32;16.4
2014 08 02;44.1;53.9;38;15.9
2014 08 03;43.8;50.3;39;11.3
2014 08 04;39.8;45.4;33.7;11.7
2014 08 05;36.8;42.7;28.7;14
2014 08 06;33.9;41.7;27.4;14.3
2014 08 07;33.4;43.4;24.7;18.7
2014 08 08;36.3;50.7;27.3;23.4
2014 08 09;40.4;56.8;28.9;27.9
2014 08 10;42.5;55.3;33.3;22
2014 08 11;39.1;50.8;29.8;21
2014 08 12;38.7;52.2;29;23.2
2014 08 13;37.4;46.8;27.9;18.9
2014 08 14;31.7;40.4;24.9;15.5
2014 08 15;32.8;40.7;25.4;15.3
2014 08 16;30.6;36.5;25.5;11
2014 08 17;28.9;34.8;20.2;14.6
2014 08 18;33.3;55.6;24.9;30.7
2014 08 19;36.3;44.2;27.3;16.9
2014 08 20;38.5;47.9;31;16.9
2014 08 21;38.5;45.2;30.5;14.7
2014 08 22;37.9;50.3;31.4;18.9
2014 08 23;34.9;42.9;26.9;16
2014 08 24;30.6;40.2;22.3;17.9
2014 08 25;33.4;43.9;26.2;17.7
2014 08 26;36.6;46.3;31.5;14.8
2014 08 27;34.4;42.1;27.3;14.8
2014 08 28;35;44.5;29.2;15.3
2014 08 29;36.2;43.7;30.4;13.3
2014 08 30;35.6;41.2;30.2;11
2014 08 31;35.2;41.4;29.8;11.6
2014 09 01;33.7;39.5;27.1;12.4
2014 09 02;37.2;44;29;15
2014 09 03;42.5;49.3;34;15.3
2014 09 04;44.9;53.5;36.8;16.7
2014 09 05;45.2;54.3;37.5;16.8
2014 09 06;45.1;55.9;37.2;18.7
2014 09 07;45.7;56.2;37.7;18.5
2014 09 08;43.5;55.3;34.8;20.5
2014 09 09;39.5;49.9;30.6;19.3
2014 09 10;39.5;50.6;31.3;19.3
2014 09 11;39.6;49.2;32.2;17
2014 09 12;38.2;45.7;31;14.7
2014 09 13;38;44.6;30.6;14
2014 09 14;40.8;47.5;32.7;14.8
2014 09 15;43.9;50.1;37.7;12.4
2014 09 16;47.1;55.6;39.1;16.5
2014 09 17;52.4;61.5;43.7;17.8
2014 09 18;54.5;61.5;46.2;15.3
2014 09 19;54.3;63.6;46.4;17.2
2014 09 20;49.1;56.1;40.9;15.2
2014 09 21;43.6;51.7;34.4;17.3
2014 09 22;43.4;54.4;35.2;19.2
2014 09 23;44.1;52.7;37.3;15.4
2014 09 24;45.8;55;39;16
2014 09 25;45.5;53.1;38.3;14.8
2014 09 26;42.9;51;36;15
2014 09 27;40.5;46.8;34.3;12.5
2014 09 28;43.4;51.5;35.3;16.2
2014 09 29;42.6;51.4;36.3;15.1
2014 09 30;37.2;45.4;29.9;15.5
2014 10 01;33.6;41.6;27.7;13.9
2014 10 02;30.9;38.4;22.7;15.7
2014 10 03;30.8;40.3;23.5;16.8
2014 10 04;32.4;43.4;25.7;17.7
2014 10 05;34.3;44.5;26.2;18.3
2014 10 06;41.2;54;30.7;23.3
2014 10 07;43.5;53;36;17
2014 10 08;41.8;51.5;34.4;17.1
2014 10 09;43.2;51.6;35.3;16.3
2014 10 10;43.7;52.1;34.8;17.3
2014 10 11;45.2;52.2;36.4;15.8
2014 10 12;49;62.2;36.4;25.8
2014 10 13;48.4;57.9;39.7;18.2
2014 10 14;49;58.5;41.5;17
